aircraft,phase,line_item,usd
Bombardier Q400,Mockup & Demonstrator,Mock-up for ground display,27000
Bombardier Q400,Mockup & Demonstrator,Design and Fabricate Demo Structure,1250000
Bombardier Q400,Mockup & Demonstrator,Aero Model Development,173000
Bombardier Q400,Mockup & Demonstrator,Aircraft Modification / Instrumentation,500000
Bombardier Q400,Mockup & Demonstrator,Flight Test Fuel and Pilots,400000
Bombardier Q400,Mockup & Demonstrator,System Scaling,700000
Bombardier Q400,Mockup & Demonstrator,Administration,500000
Bombardier Q400,Mockup & Demonstrator,Contingency,400000
Bombardier Q400,Certification,Structural Final Design and Build,1300000
Bombardier Q400,Certification,Flight Test Analysis and Substantiation,4000000
Bombardier Q400,Certification,Technology Scaling and Certification,4000000
Bombardier Q400,Certification,Administration,1000000
Bombardier Q400,Certification,Contingency,1000000
Bombardier Q400,Production Readiness,Production Line Setup / Inventory,1000000
Bombardier Q400,Production Readiness,Tooling,1500000
Bombardier Q400,Production Readiness,CAMO Documents,500000
Bombardier Q400,Production Readiness,PMA/Part 21G Expansion,400000
Bombardier Q400,Production Readiness,Facility Preparation,600000
